"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient"
"Clostridiales.Otu1597",161.5,0.121994531696797,0.340484769425013,0.390096618357488,-0.219806763285024,0.241515816768591,-1.28164594035399,0.00566248059456558,0.00232912531023278
"Bacteroides.Otu1411",164,0.240343735383367,0.530236062718459,0.396135265700483,-0.207729468599034,0.183367996192238,-0.817626644732302,0.00220418935954683,0.00125060095572395
"Bacteroides.Otu2038",246.5,0.305264680036049,0.576063992971254,0.595410628019324,0.190821256038647,0.160110713974398,1.02688479607516,0.0127811204497743,0.0260430625114613
"Lachnospiraceae.Otu0898",245.5,0.303233847908076,0.576063992971254,0.592995169082126,0.185990338164251,0.160784522958338,-2.00556659202245,0.00556746056278797,0.00138650502176839
"Ruminococcaceae.Otu0064",162.5,0.0474494194006389,0.198270788209813,0.392512077294686,-0.214975845410628,0.309578019050449,-7.43407420309903,0.00383224494993305,2.21602132563144e-05
"Bacteroides.Otu2343",246,0.27995781474145,0.545917738745827,0.594202898550725,0.188405797101449,0.168732336163681,3.4480360597416,0.000716493522344982,0.00781942013938065
"Blautia.Otu0620",165,0.271934262151241,0.543320071012027,0.398550724637681,-0.202898550724638,0.171575470888487,0.658367410992943,0.00137195688958243,0.00216535348777398
"Faecalibacterium.Otu0751",169,0.321444334041322,0.587640423169291,0.408212560386473,-0.183574879227053,0.154845375597214,-0.354057946738968,0.0068197163809701,0.00533561213210606
"Alistipes.Otu2508",173,0.357482384087955,0.611953048025714,0.417874396135266,-0.164251207729469,0.143706872205767,-0.197135472537173,0.0202534522403614,0.0176666973742983
"Bacteroides.Otu0877",240.5,0.382802825124239,0.625602410720767,0.580917874396135,0.161835748792271,0.136299657511657,1.00808544986053,0.00232299130388004,0.00467209368436408
"Bacteroides.Otu0786",240,0.350303861692261,0.611953048025714,0.579710144927536,0.159420289855073,0.145866303080968,3.42993318213657,0.00125330863619218,0.0135073702117133
"Roseburia.Otu1051",170,0.333612248169301,0.600502046704742,0.410628019323671,-0.178743961352657,0.150998718499743,-0.0549230080008919,0.00258789291755927,0.00249122428687384
"Escherichia_Shigella.Otu2393",176,0.384986098905088,0.625602410720767,0.42512077294686,-0.14975845410628,0.135675324127009,0.508315232665093,0.00985908551781444,0.0140234466292059
"Bacteroides.Otu1565",175.5,0.360895387297216,0.611953048025714,0.423913043478261,-0.152173913043478,0.142689761213437,-2.51056090237748,0.00637240267297705,0.00111827617824854
"Parabacteroides.Otu1107",174,0.354914710752634,0.611953048025714,0.420289855072464,-0.159420289855073,0.144476101602881,1.78143875816707,0.000945506503726371,0.00325035668733021
"Lachnospiraceae.Otu2599",179.5,0.473396562708607,0.683795035023543,0.433574879227053,-0.132850241545894,0.11197090107513,0.826935726445455,0.00144884073479464,0.00257011825305991
"Bacteroides.Otu2431",210,0.942826664993857,0.994084334138194,0.507246376811594,0.0144927536231885,0.0112004043362178,-0.114041199531301,0.0167972364242005,0.0155205823778269
"Bacteroides.Otu2216",174,0.245629291778201,0.530236062718459,0.420289855072464,-0.159420289855073,0.181322579364308,2.00538168001677,0.00119947785904005,0.00481584249086559
"Prevotella.Otu1994",176,0.205617041945668,0.478958638701382,0.42512077294686,-0.14975845410628,0.197670641954729,-2.9705275851093,0.0263330503722955,0.00335956666863954
"Bacteroides.Otu1726",172.5,0.0765478424015009,0.263414634146341,0.416666666666667,-0.166666666666667,0.276595810035001,-52,0.0117845195335809,0
"Bacteroides.Otu0661",223,0.683963437618854,0.824986826818618,0.538647342995169,0.0772946859903381,0.0635721942932282,0.937599361712093,0.00723686471324215,0.013861045391818
"Bacteroides.Otu0929",219,0.763780374447297,0.886168427919928,0.528985507246377,0.0579710144927537,0.0469333734891931,1.57166654616227,0.00769875656052813,0.0228843910684807
"Prevotella.Otu2602",181,0.377277006171577,0.625602410720767,0.43719806763285,-0.1256038647343,0.137889657722334,-2.03935509799925,0.00816780909085591,0.00198700299613382
"Phascolarctobacterium.Otu1814",229,0.489005555474396,0.69772743890859,0.553140096618358,0.106280193236715,0.108055276867091,-1.08113086693856,0.00408720899627638,0.00193185277193255
"Ruminococcaceae.Otu1504",178,0.273981916151364,0.543320071012027,0.429951690821256,-0.140096618357488,0.170844503544257,-2.08349406889191,0.00686037632726896,0.00161865289799168
"Bacteroides.Otu2065",182,0.396055825540483,0.634774405318309,0.439613526570048,-0.120772946859903,0.132542545019714,1.52197525109699,0.00721560217878511,0.0207220531966856
"Alistipes.Otu1466",225.5,0.612667829871498,0.796218831638268,0.544685990338164,0.0893719806763285,0.0790659325406294,-0.580736159271177,0.0162308230180969,0.010852293698981
"Prevotella.Otu1987",187,0.520411187681054,0.716330693631568,0.451690821256039,-0.0966183574879227,0.100374704017531,-0.902972701755626,0.0571264735214264,0.0305503047562645
"Bacteroidales.Otu1168",230.5,0.468205742916804,0.683795035023543,0.556763285024155,0.113526570048309,0.113288683735642,3.11550270744963,0.000402281810003176,0.00348650395356359
"Bacteroides.Otu1669",191,0.672282981146702,0.819344883272543,0.461352657004831,-0.0772946859903382,0.0660641298439489,-0.0420021392334486,0.00164875379987765,0.00160144454949457
"Bacteroides.Otu2520",211,0.927367092249054,0.994084334138194,0.509661835748792,0.0193236714975846,0.0142364789114505,0.349651373834077,0.0473264553125245,0.0603058619450791
"Bacteroides.Otu2625",212,0.899884705895035,0.993268967827539,0.51207729468599,0.0241545893719808,0.0196477514182323,1.71191413406933,0.0059384539026644,0.0194540888017066
"Clostridium_XlVa.Otu0236",195.5,0.764983001879596,0.886168427919928,0.472222222222222,-0.0555555555555556,0.0466871624608306,-0.600994719050255,0.00607444126004417,0.0040048743882692
"Prevotellaceae.Otu2503",178,0.273981916151364,0.543320071012027,0.429951690821256,-0.140096618357488,0.170844503544257,-1.15592276414994,0.00212944840103906,0.000955651831382078
"Oscillibacter.Otu0154",193,0.713961265869484,0.85238232761969,0.466183574879227,-0.0676328502415459,0.0572441200586934,0.143646861393135,0.00174368466550892,0.00192623807153343
"Bacteroides.Otu1624",190.5,0.619281313496431,0.796218831638268,0.460144927536232,-0.0797101449275363,0.0775979274705487,1.18087782589898,0.00279948562350277,0.00634684494275884
"Prevotella.Otu0773",181.5,0.310305071537421,0.576280847140924,0.438405797101449,-0.123188405797101,0.158451104607631,-1.70857445946004,0.00334863984867825,0.00102455736338372
"Bacteroides.Otu2120",209,0.968594992237215,0.994084334138194,0.504830917874396,0.00966183574879231,0.00614864046747568,0.756139520834799,0.0016644273068038,0.00281115963964695
"Bacteroides.Otu0480",184,0.437834607287794,0.67586649550706,0.444444444444444,-0.111111111111111,0.121168193467202,-0.0347374231832219,0.00919976965260493,0.00898090178749179
"Bacteroides.Otu0752",188,0.617716291521254,0.796218831638268,0.454106280193237,-0.0917874396135265,0.0779446942131861,-0.129227575877627,0.00144512022061685,0.00132130354829557
"Bacteroides.Otu0775",209,0.967704724807796,0.994084334138194,0.504830917874396,0.00966183574879231,0.00632303574411638,-0.0666184111583286,0.00156723196029272,0.00149650833329313
"Prevotella.Otu1803",188,0.541973064573379,0.728860328219372,0.454106280193237,-0.0917874396135265,0.0952397662415233,-1.44002183640156,0.00654854463973664,0.00241354291382892
"Prevotella.Otu1633",205.5,0.964698835368143,0.994084334138194,0.496376811594203,-0.00724637681159424,0.00691192162626073,-0.0400337115492523,0.00493209642735707,0.0047971158953534
"Prevotella.Otu1563",189,0.508242482632727,0.707909172238441,0.456521739130435,-0.0869565217391305,0.103320936995557,-1.20490977115969,0.0033956221243353,0.00147300890175025
"Prevotella.Otu1319",189,0.508242482632727,0.707909172238441,0.456521739130435,-0.0869565217391305,0.103320936995557,-2.22495022771627,0.00516568491921053,0.00110497170061374
"Akkermansia.Otu1935",199.5,0.828753697506241,0.938524447289691,0.481884057971014,-0.0362318840579711,0.0337804270859461,1.76712960181104,0.00300159309042055,0.0102167045228275
"Lachnospiraceae.Otu0790",210,0.947926861270249,0.994084334138194,0.507246376811594,0.0144927536231885,0.0101997710059706,0.385725348040346,0.00191959825873747,0.00250798680444127
"Parabacteroides.Otu1378",203,0.915052002086405,0.994084334138194,0.490338164251208,-0.0193236714975845,0.0166588152631314,1.64399231084478,0.00158384142034421,0.00494997145593363
"Prevotella.Otu0882",191.5,0.649284358912087,0.816841612824883,0.46256038647343,-0.0748792270531401,0.071021048426059,-0.192499299733439,0.00200868794983319,0.00175777956329312
"Bacteroides.Otu2383",201.5,0.881231116417367,0.981943244007923,0.486714975845411,-0.0265700483091788,0.0233337248264463,0.823636049128805,0.00109491061722156,0.00193783958601749
"Megamonas.Otu2657",188.5,0.41803767824307,0.660951464249178,0.455314009661836,-0.0893719806763285,0.12647425455124,-3.31162479375366,0.00899502012800152,0.000905948983819149
"Bacteroides.Otu1854",192.5,0.639448185953788,0.81321127996297,0.464975845410628,-0.0700483091787439,0.0731627951462102,3.49605706579599,0.000156958897413663,0.00177094055138177
"Prevotella.Otu2501",189.5,0.591191863335637,0.786016454662154,0.457729468599034,-0.0845410628019324,0.0838824373230057,2.98933614202951,0.000280912570003587,0.00223075060220665
"Sutterella.Otu0171",209,0.962511961213771,0.994084334138194,0.504830917874396,0.00966183574879231,0.00734041494485254,-1.34438184307634,0.00703907419527769,0.00277214716860389
"Enterococcus.Otu1019",215,0.834243953146392,0.938524447289691,0.519323671497585,0.038647342995169,0.0326811860409914,0.0162090489461593,0.00332649162521147,0.00336407635379301
