"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Parabacteroides"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Unclassified_Clostridiales"	"Clostridium_XI"	"Escherichia_Shigella"	"Erysipelotrichaceae_incertae_sedis"	"Unclassified_Bacteria"	"Clostridium_IV"	"Sutterella"	"Megamonas"	"Bifidobacterium"	"Akkermansia"	"Clostridium_XlVa"	"Roseburia"	"Dorea"	"Unclassified_Firmicutes"	"Lactobacillus"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Gemmiger"	"Streptococcus"	"Enterococcus"	"Clostridium_sensu_stricto"	"Oscillibacter"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Unclassified_Prevotellaceae"	"Catenibacterium"	"Unclassified_Burkholderiales"
0.741057109701196	0.000100948919675101	0.0082777168947433	0.0448567504372705	0.0162015928290382	0.00030284675491035	0	0.00131233558131576	0.000504744577800737	0.0433439880647139	0.00832818961488097	0.00242277170610995	0	0.00257419461311232	0.00232182307036549	0.00383604954607422	0.000151423379191171	0	5.04744599018468e-05	0.0279087531821214	0.00969094461800346	0.00156470761914003	0.000100948919675101	0.000555219030630007	0	0.000605693482044763	0.0080253529803214	0	0.000100948919675101	0	0.000201897838321464	0.000504744577800737	0	0	0	0	0	0	0	0
0.587392678232386	0.000219780218010867	0.063912523309153	0.00586077230914343	0.0448201571919269	0.0356700910243074	0.0105492548829297	0.0321556304703829	0.040501746484675	0.0153840085610644	0.0162630193646444	0.0148712467265021	0.00065934061156813	0.00556773680136564	0.00373625504348559	0.00366299547160267	0.00608054861109048	0	0.00593403110843683	0	0.00754571593946967	0.0172885160410495	0.0133329383032065	0.00205128061273501	0.000146520145995894	0.00139194094246051	0.00329669732516512	0.00146520094094914	0.000219780218010867	0	0.000293040288846271	0.00300365848717769	0	0	0.00600728987588355	0	0	0	0	0
0.32436421695795	0.000774113562567507	0.107549165038141	0.0390054360629478	0.0558619468668035	0.0351375284033856	0.0123855015783578	0.0872094315305599	0.068687268068541	0.0224474103522569	0.0179584711418696	0.00727660399994792	0	0.0018578716669188	0.00696696639764756	0.0119210676980075	0.0256977443967065	0	0	0	0.020589967948262	0.0195064266667272	0.00464466513944886	0.0250786530263707	0	0.00371573692108461	0.00774105908605971	0.00882478095332287	0.00108375888368344	0	0.00866996414856087	0.00418020148115504	0	0	0.019042044747692	0	0.00232233883215116	0	0	0
0.744587295904714	5.74250602647521e-05	0.0432276064406429	0	0.0357681853274185	0.0198677637761601	0.00511080811698518	0.00826911444441271	0.0153318904221558	0.00924530299913093	0.00511080811698518	0.00269897455716185	0	0	0.00212472563229877	0.000803950757544554	0.00178017592894816	0.0111402312701137	0.000803950757544554	0	0.00223957547938325	0.00356034621650321	0.00223957547938325	0.00149305101298553	0	0.000689100669018065	0.00120592597393475	0.00568505034600626	0.000229700239165338	0	0.000229700239165338	0.000516825519658728	0	0	0	0	5.74250602647521e-05	0.000114850120340137	0	0
0.711830871963889	0.000259762747100325	0.045269842145854	0.00978424080694165	0.0103037400969254	0.00476229908262202	0	0.0120353835270986	0.0233765183821232	0.0317722972390338	0.00770621864374843	0.00086587572520843	0	0.00121222586987505	0.00086587572520843	0.00285738636197335	0	0	0.000606113046272245	0	0.00658060883887873	0.0059745077073489	0.000952463272735762	0.00614767969290665	0	0.000173175165815521	0.0103903230453663	0.00744646334959213	0.000432937903178109	0	0.0116890575619105	0	0	0	0	0	0	0	0	0
0.855882648926218	0	0.00120433531705674	0	0.0204722752728699	0	0.00120433531705674	0.000401445191947127	0	0.000401445191947127	0.000802890319198071	0	0	0	0	0	0	0	0	0.000802890319198071	0.000401445191947127	0.000401445191947127	0	0	0	0.00602164164992496	0	0	0	0.000401445191947127	0	0.000401445191947127	0	0	0	0	0	0	0	0
0.520005237812049	0.179401411900347	0	0.0273938339888269	0.0479268555062188	0.000380517494622428	0.0502072144172625	0.00570773156575742	0.000380517494622428	0.00114155226348147	0.00114155226348147	0.00418568031971568	0	0	0.00152206942752544	0	0.0578064609798797	0	0	0	0.000761034934148385	0	0	0	0	0.0642632170535115	0	0.00190258637118424	0	0	0.00875179086487475	0	0	0	0	0	0.000380517494622428	0	0	0
0.398858552907427	0.396835396922507	0.0113516653866412	0.0785327401533474	0.00473500325001137	0.00163904497728986	0.0200921344384073	0.0021853925420004	0.0031566753864043	0.00406725036577964	0.00309597028636672	0.000485643154588376	0	0.000971286194638213	0.00418866012471111	0.00224609778968377	0.0128084884817171	0	6.07053966724828e-05	0	0.000849875451627561	0.00339949566799114	0.00394584054689586	0.00030352697888825	0	0.00503852660824743	0.000424937764179721	0.000667759314181517	6.07053966724828e-05	0.000121410793121257	6.07053966724828e-05	0.0010319915608864	0	0.00030352697888825	0.00959130562374098	0	0.000182116189122616	0.0031566753864043	0	0
0.48452206210261	0	0.0299472143323071	0.0151362980265417	0.0322005542121544	0.00128824441018286	0.0328443360871904	0.0218984107932029	0.00740733966872872	0.00322060634874251	0.00708528693387374	0.00772939163532543	0	0.00676323346415788	0.00611912445373646	0.00998373108504851	0.0051529562616202	0	0.0209324487694104	0.1743171324882	0.00837349313015808	0.00354266569752654	0.0125600562355201	0.00289854666591085	0	0.00289854666591085	0.0112719030119702	0.0119159820952091	0.00483089908412044	0	0.019322469109339	0.000322061186058862	0	0.0173904277788171	0.00128824441018286	0	0	0	0	0
0.83037961539764	0	0.00633097971543305	0	0.0111544265139826	0.00331624354476794	0	0.00120590866159874	0.00120590866159874	0.00693392092167811	0.00602950823553877	0.000301477233901692	0	0.00391919406689228	0.00180886244438285	0.000602954440402568	0.00180886244438285	0	0.000301477233901692	0	0.00602950823553877	0.00211033910286897	0	0.000602954440402568	0	0.00301476781790003	0	0.000301477233901692	0	0.00331624354476794	0.000301477233901692	0.00120590866159874	0	0	0	0	0	0	0	0
0.477216713736879	0	0.0649311588228688	0.0264160636903743	0.0253453762860261	0.0296279393569721	0.00749725214942014	0.106900882168663	0.0328395094972222	0.00749725214942014	0.00999626336574686	0.0207054109145092	0.000357015344075928	0.000714030642646706	0.0135661672376654	0.0446121193385906	0	0	0.000357015344075928	0.0174928600813835	0.00142806092125253	0.00714024636104385	0.00214209047177825	0.00142806092125253	0	0.00249910486024968	0.00606922371769546	0.0192776349518466	0	0	0.0035701459324509	0.00142806092125253	0	0.0121382238870532	0.00321313263608948	0	0	0	0	0
0.78442830422144	0.0001327903678817	0.0104902466920776	0.0560966365723214	0.00889683730413718	0.00420501593630753	0.000265580733421869	0.0219086580692401	0.00115084960431554	0.00314270020925343	0.00168201053833198	0	0	0.000619688345607658	0.00225743434330481	0.0014606935315626	4.42634560761977e-05	0	0	8.8526912065672e-05	0.00283285740081514	0.00376238489126742	0.000708215238247309	0.000841005566583187	0	0.00362959543006887	8.8526912065672e-05	0.00115084960431554	8.8526912065672e-05	0	0	0.00137216670821476	0	0.0014606935315626	0	0	0	8.8526912065672e-05	0	0
0.60075149457237	0	0.0444281389504616	0	0.0555059467692834	0.00668535626313064	0	0.0182319155516085	0.00957213977645752	0.0021271730520378	0.0577055665400418	0.00068373465765862	0	0.00113955760491694	0.0902822262917732	0.00068373465765862	7.59705233638289e-05	0	0.00326672669763641	0.00167135073748294	0.0214980021602529	0.00402642686266582	0.00113955760491694	0.00144343944406263	0.000151941046289192	7.59705233638289e-05	0.00417836663084444	0	0.00129149853939757	0	0.000151941046289192	0.00714116850740055	0	0	0	0	0	0	0	0.0163329363538052
0.284628937570348	0.436235551409839	0.00184430103171789	0.0105802724141499	0.0355196128042978	0.000485342632857903	0.0619870867679244	0.00669767852119761	0.000388274111773974	0.000873616662317122	0.000582411149368789	0	0	0.00174723265788559	0.00155309586174695	0.000194137059545422	0.0307658703866226	0	0	9.70685302300152e-05	0.00611527929887242	0	0	0.000582411149368789	0	0.0124244522322226	0.000194137059545422	0.000194137059545422	9.70685302300152e-05	0	0	0.0019413693881727	0	0	0.0151421120934708	0.000291205587031611	0.0124244522322226	0.0244588308977237	0.00640647918165708	9.70685302300152e-05
