".record.id","Sample.type","feature","Abundance"
"SB39","patient","Verrucomicrobiales",0.175201288244766
"SB4","patient","Verrucomicrobiales",0
"SB40","control","Verrucomicrobiales",0.0174937522313459
"SB41","patient","Verrucomicrobiales",8.85269121813031e-05
"SB42","patient","Verrucomicrobiales",0.00167135151561194
"SB43","patient","Verrucomicrobiales",9.706853038245e-05
"SB44","patient","Verrucomicrobiales",0
"SB45","control","Verrucomicrobiales",0
"SB5","patient","Verrucomicrobiales",0
"SB6","patient","Verrucomicrobiales",0.00667408231368187
"SB7","control","Verrucomicrobiales",0
"SB8","patient","Verrucomicrobiales",0
"SB9","patient","Verrucomicrobiales",0
"SB1","control","Unclassified_Firmicutes",0.0102295976358263
"SB10","control","Unclassified_Firmicutes",0.00281018479093928
"SB11","patient","Unclassified_Firmicutes",0.00580357142857143
"SB12","control","Unclassified_Firmicutes",0.0450985687280583
"SB13","control","Unclassified_Firmicutes",0.00792253521126761
"SB14","control","Unclassified_Firmicutes",0.0036101083032491
"SB15","control","Unclassified_Firmicutes",0.00151682294539437
"SB16","patient","Unclassified_Firmicutes",0.00786098469176665
"SB17","patient","Unclassified_Firmicutes",0.00090032154340836
"SB18","patient","Unclassified_Firmicutes",0.000867894116917736
"SB19","control","Unclassified_Firmicutes",0.00405143561740356
"SB21","control","Unclassified_Firmicutes",0.0122368184272089
"SB22","patient","Unclassified_Firmicutes",0.000383877159309021
"SB23","patient","Unclassified_Firmicutes",0.00753093060785368
"SB24","control","Unclassified_Firmicutes",0.00272518646012622
"SB25","control","Unclassified_Firmicutes",0.00916453537936914
"SB26","control","Unclassified_Firmicutes",0.0024174053182917
"SB28","patient","Unclassified_Firmicutes",0
"SB29","patient","Unclassified_Firmicutes",0.000719942404607631
"SB3","control","Unclassified_Firmicutes",0.0105699481865285
"SB30","patient","Unclassified_Firmicutes",0.000555219059156067
"SB31","control","Unclassified_Firmicutes",0.00205128205128205
"SB32","control","Unclassified_Firmicutes",0.0250812819321876
"SB33","control","Unclassified_Firmicutes",0.00149305156770415
"SB34","patient","Unclassified_Firmicutes",0.00614771841717898
"SB35","patient","Unclassified_Firmicutes",0
"SB36","patient","Unclassified_Firmicutes",0
