"feature","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis.Otu0778",-0.000186613237367893,0.0046745129501472,-0.00113215875395341,0.25
"Lachnospiraceae.Otu0875",0.000480665556217023,0.00474270557728318,-0.0011348055088799,0.4375
"Lachnospiraceae.Otu1734",0.00103362198378853,0.00524663359155045,-0.000459293915053399,0.3125
"Roseburia.Otu2084",-0.000254951536094701,0.0025293860751705,8.60219153765573e-05,0.5
"Lachnospiraceae.Otu0790",-0.000476899912649741,0.00452336318121517,-0.000428341113394228,0.375
"Bacteroides.Otu2625",0.0163424582401306,0.0559331868739665,-0.00026860057800228,0.4375
"Bacteroides.Otu2343",0.00160794203061001,0.00448057815434627,0,0.4375
"Prevotella.Otu1803",-0.00560161374457518,0.0143591797099696,0,0.125
"Prevotella.Otu1987",-0.0486289422677846,0.0984452874730855,0,0.0625
"Blautia.Otu0620",-6.95147815829042e-05,0.00242641402924026,-7.60655748102267e-05,0.375
"Bacteroides.Otu2383",0.000483215858174672,0.00213130162411763,0,0.4375
"Alistipes.Otu2508",-0.000866006090449761,0.0452540727635003,0,0.375
"Prevotella.Otu0634",-0.00222646628155192,0.0114417183085124,-2.87125301323761e-05,0.1875
"Escherichia_Shigella.Otu2393",0.00770699247830951,0.0321051223268389,-0.000158331776069202,0.1875
"Bacteroides.Otu0661",0.00255318268066518,0.0141793425933712,-0.00124851120582277,0.375
"Prevotella.Otu2602",-0.00713630477987016,0.0188877265634683,0,0.0625
"Enterococcus.Otu1019",0.00480486444747489,0.0178663681907483,0,0.375
"Bacteroides.Otu1565",-0.00558042363143382,0.0264670056288343,-3.66300365972708e-05,0.25
"Bacteroides.Otu0775",-0.000321851301218552,0.0024153605797229,0,0.375
"Alistipes.Otu1466",-0.0061314875975957,0.0459260212867003,0,0.375
"Bacteroides.Otu2481",-0.0168976247635676,0.0673889120883024,0,0
"Ruminococcaceae.Otu0064",-0.00427942026211872,0.0100929948849163,0,0.0625
"Parabacteroides.Otu1107",0.00270813597841964,0.00800009014182054,-0.000172275177480333,0.25
"Sutterella.Otu1997",0.00179576801451235,0.0162271639822081,0,0.1875
"Prevotella.Otu1563",-0.00275562943802528,0.00580605683166807,0,0.0625
"Bacteroidales.Otu1168",0.00442195139264587,0.0140220554577006,0,0.3125
"Prevotella.Otu1994",-0.0247953045826631,0.0622111536221659,0,0.0625
"Prevotella.Otu1319",-0.00502683507407922,0.0134648875806204,0,0.0625
"Alistipes.Otu0529",-0.000662398644181792,0.00542350426718375,0,0.25
"Bacteroides.Otu2534",0.00468106280872988,0.0153438062898391,0,0.3125
"Bacteroides.Otu0480",0.0025603054603389,0.0489190538427144,0,0.125
"Bifidobacterium.Otu1244",0.000174521086108061,0.00181964004934694,0,0.125
"Bacteroides.Otu0786",0.00159276149844443,0.00675222942144931,0,0.3125
"Bacteroides.Otu1624",-0.00150726582427613,0.00967157678707209,0,0.25
"Prevotella.Otu1633",0.00105454715902943,0.0166864324694864,0,0.25
"Akkermansia.Otu1935",0.00971723611170013,0.0385700354551892,0,0.25
"Bacteroides.Otu2065",0.0215578588869913,0.0977044417720562,0,0.125
"Prevotella.Otu0773",-0.00332331105324351,0.0104112703865696,0,0.0625
"Ruminococcus.Otu0422",-0.00552943823608075,0.020377864519838,0,0
"Sutterella.Otu0171",-0.00586438030275063,0.026949423031177,0,0.1875
"Prevotella.Otu2327",-0.00213220140465824,0.00516855019532106,0,0.125
"Megamonas.Otu2657",-0.00881709597976168,0.0324267309436921,0,0.0625
"Bacteroides.Otu2216",0.00555728381895852,0.0197935783514705,0,0.125
"Bacteroides.Otu1726",-0.0132575844752785,0.0528412037284424,0,0
"Phascolarctobacterium.Otu1814",-0.00192093772401297,0.00928769615058098,0,0.3125
"Prevotella.Otu0882",-9.47001361652143e-05,0.00421392031466781,0,0.125
"Prevotellaceae.Otu2503",-0.0010218799435572,0.00935726518524083,0,0.125
"Ruminococcaceae.Otu1504",-0.00539585798502478,0.0230114813803077,0,0.0625
"Klebsiella.Otu1452",0.000433696175906064,0.0017252141176775,0,0.25
"Prevotella.Otu0738",0.00680975949657591,0.0241627260160239,0,0.125
"Lactobacillus.Otu0959",-0.0112497012538797,0.0450761213930498,0,0.0625
"Prevotella.Otu2501",0.00281029151949092,0.00810514313792027,0,0.1875
"Ruminococcaceae.Otu2510",-0.00357240711507038,0.0138255943954077,0,0
"Prevotella.Otu2666",0.00282792898722949,0.0143760290206099,0,0.0625
"Streptococcus.Otu0749",-0.00459969403000477,0.0188354852232762,0,0.125
"Catenibacterium.Otu2320",-0.00305107934152016,0.0128941264005889,0,0.0625
"Prevotella.Otu2702",-0.00275514365061744,0.011131535865655,0,0.0625
"Prevotella.Otu2220",0.00221859787130068,0.00816648735994409,0,0.125
"Bacteroides.Otu2277",-0.001413966450263,0.00582247074187717,0,0.0625
"Megamonas.Otu1877",-0.00459991559752521,0.0183996623901009,0,0
"Lactobacillales.Otu0504",0.00924305951940049,0.036972238077602,0,0.0625
"Bacteroides.Otu0801",-0.00157184532203966,0.00628738128815865,0,0
