"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient","l2fc.paired.median","median.paired.control","median.paired.patient"
"Dorea.Otu1142",46,0.274444580078125,0.540036109185988,0.3125,-0.375,0.273221087692653,-0.333575600481115,0.00625590591174575,0.0049644820731175,-2.00187833171491,0.00398909140595656,0.000712794969183443
"Faecalibacterium.Otu0067",54,0.49542236328125,0.774891388721955,0.375,-0.25,0.170427491965498,-0.433273491928748,0.0256444003821926,0.0189917170571729,-0.546619364611475,0.0203992674913324,0.0087810568128105
"Clostridium_IV.Otu1864",19,0.12939453125,0.323001783721301,0.3125,-0.375,0.437774058252481,-1.63348872453267,0.00536560631711828,0.00172937708855741,-0.880358581955839,0.000535223856937855,0
"Bacteroides.Otu2437",41,0.30279541015625,0.568323692908654,0.34375,-0.3125,0.266062918007642,-1.36071362627997,0.0109803555191338,0.00427563658785917,-2.84500664055474,0.00197667127528354,3.03526983362414e-05
"Bacteroides.Otu0877",79,0.30279541015625,0.568323692908654,0.59375,0.1875,0.266062918007642,1.14197117629802,0.00232299130388004,0.00512643154270476,1.44053659944048,0.00101910658699326,0.00324352299739755
"Parabacteroides.Otu1378",78,0.33026123046875,0.610482880563447,0.46875,-0.0625,0.251379297258001,1.73565994124588,0.00158384142034421,0.00527469559003674,-0.87374274850753,0.000325027816461099,0.000630872420094641
"Ruminococcaceae.Otu2507",21,0.17626953125,0.405752505896226,0.3125,-0.375,0.390384261630176,-2.63176120064371,0.00260322919280045,0.000420023261583694,-3.49422178616056,0.000178128414496951,0
"Clostridium_XI.Otu2681",38,0.3909912109375,0.662512885199653,0.3125,-0.375,0.229262354712031,2.67363908067024,0.00110847901373727,0.00707250130258582,-16.869380108439,0.000372227520265593,0
"Clostridium_XI.Otu1804",60,0.705718994140625,0.946128761375343,0.3125,-0.375,0.0944029511340575,0.796483582085518,0.00794087130473054,0.0137922019262083,-1.82078202253473,0.00690314565803566,0.00166768153679507
"Bacteroides.Otu1669",43,0.359130859375,0.635416666666667,0.34375,-0.3125,0.236774186712643,-0.159317168024921,0.00164875379987765,0.00147637459394948,-0.795450273541968,0.000789133233488148,0.000444166578367558
"Bacteroides.Otu1411",34,0.267578125,0.540036109185988,0.375,-0.25,0.296301079811013,-0.343459068553876,0.00220418935954683,0.00173723039644622,-0.24380430904851,0.000217289137237997,3.03526983362414e-05
"Bacteroides.Otu0929",82,0.49542236328125,0.774891388721955,0.5,0,0.170427491965498,0.900872134719351,0.00769875656052813,0.0143750750911148,-0.334406898934779,0.0045829355400659,0.00545230996553144
"Bacteroides.Otu2431",61,0.743560791015625,0.948311237373737,0.4375,-0.125,0.0817853993496118,-0.333661976368287,0.0167972364242005,0.0133289387336155,-0.00377531875418979,0.013269215698424,0.0152438953209814
