"feature","age.quant","mean","sd","median","incidence"
"Oscillibacter","(15.3,26.4]",-0.00321059105617297,0.00555590993092781,-0.00134456119702493,0.4
"Unclassified_Bacteroidales","[3.18,6.27]",0.00189322113331921,NA,0.00189322113331921,1
"Unclassified_Bacteroidales","(6.27,8.71]",0.000610019852715127,0.00123476259855333,0.000610019852715127,0.5
"Unclassified_Bacteroidales","(8.71,15.3]",0.00837778770783919,0.0222006485145671,0.00101113434055034,0.75
"Unclassified_Bacteroidales","(15.3,26.4]",0.00429190920135934,0.0115641325037805,0.00010240876576136,0.6
"Barnesiella","[3.18,6.27]",-0.000829015449082341,NA,-0.000829015449082341,0
"Barnesiella","(6.27,8.71]",0,0,0,0
"Barnesiella","(8.71,15.3]",-0.00232771934341003,0.00403587610653626,-0.000597023387532853,0
"Barnesiella","(15.3,26.4]",-0.000723349284085766,0.00109256795514694,0,0.4
"Erysipelotrichaceae_incertae_sedis","[3.18,6.27]",0.375879957250321,NA,0.375879957250321,1
"Erysipelotrichaceae_incertae_sedis","(6.27,8.71]",-0.0011810001940573,0.00022910593016552,-0.0011810001940573,0
"Erysipelotrichaceae_incertae_sedis","(8.71,15.3]",0.0010150098288026,0.00248484053900488,0.000309844172803829,0.5
"Erysipelotrichaceae_incertae_sedis","(15.3,26.4]",0.00645411700777216,0.0133994819425149,0.000716861089341752,0.8
"Prevotella","[3.18,6.27]",-0.307062000470564,NA,-0.307062000470564,0
"Prevotella","(6.27,8.71]",0.000550767914041626,0.000269827308390086,0.000550767914041626,1
"Prevotella","(8.71,15.3]",-0.000801815075988577,0.237040518171798,-0.000109890109005433,0.375
"Prevotella","(15.3,26.4]",-0.200310241020219,0.201497792322686,-0.1962998566736,0.2
"Faecalibacterium","[3.18,6.27]",-0.0346168433390739,NA,-0.0346168433390739,0
"Faecalibacterium","(6.27,8.71]",0.0190514374314542,0.0195340769149523,0.0190514374314542,1
"Faecalibacterium","(8.71,15.3]",-0.00482453565005067,0.0193599339454147,-0.000759030143175203,0.5
"Faecalibacterium","(15.3,26.4]",-0.0187887270565416,0.0638887768309778,-0.027193664107839,0.2
"Clostridium_XlVa","[3.18,6.27]",-9.55019521135083e-05,NA,-9.55019521135083e-05,0
"Clostridium_XlVa","(6.27,8.71]",-0.024395303830282,0.0320995977026309,-0.024395303830282,0
"Clostridium_XlVa","(8.71,15.3]",-0.00172004906797231,0.00873617684024713,-0.000461462891249504,0.5
"Clostridium_XlVa","(15.3,26.4]",0.00019618340719842,0.0138149826893642,-3.14923172176892e-05,0.4
"Alistipes","[3.18,6.27]",-0.023831940890015,NA,-0.023831940890015,0
"Alistipes","(6.27,8.71]",-0.0214375870683874,0.0801217465990995,-0.0214375870683874,0.5
"Alistipes","(8.71,15.3]",-0.01940016254743,0.122728391508958,0.00110028036249324,0.5
"Alistipes","(15.3,26.4]",0.0129795099660702,0.061228501713276,-0.0101446562805222,0.4
"Parabacteroides","[3.18,6.27]",0.00182149261753947,NA,0.00182149261753947,1
"Parabacteroides","(6.27,8.71]",-0.00320927200830367,0.017944903771055,-0.00320927200830367,0.5
"Parabacteroides","(8.71,15.3]",0.0138478160870785,0.020392200197469,0.00883570329618085,0.625
"Parabacteroides","(15.3,26.4]",-0.0016288922688279,0.0123902468132442,-0.0020522241627505,0.2
"Clostridium_XI","[3.18,6.27]",0.027574425688613,NA,0.027574425688613,1
"Clostridium_XI","(6.27,8.71]",-0.0059085840572576,0.00330424368491112,-0.0059085840572576,0
"Clostridium_XI","(8.71,15.3]",-0.0015294039313929,0.0142204600161852,-0.0045766593642327,0.25
"Clostridium_XI","(15.3,26.4]",0.03560868379041,0.101584827703653,-0.00110081836924573,0.4
"Enterococcus","[3.18,6.27]",0.000757288833335057,NA,0.000757288833335057,1
