"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"Faecalibacterium.Otu0067",3,"DrugBefore_NO",0.0163046826719789,0.0192438857626247,0.00676278337065395,0.833333333333333
"Faecalibacterium.Otu0067",3,"DrugBefore_YES",0.0294432491481088,0.0350982550896444,0.0175941874936546,1
"Faecalibacterium.Otu0067",4,"DrugBefore_NO",0.0723428000619242,0.0779520900042943,0.0453882522055417,1
"Faecalibacterium.Otu0067",4,"DrugBefore_YES",0.0288838383269604,0.0311536640416877,0.0120246993825154,1
"Bacteroides.Otu1883",1,"DrugBefore_NO",7.41564701520208e-05,0.000234503348918678,0,0.1
"Bacteroides.Otu1883",1,"DrugBefore_YES",2.81788190551585e-05,8.91441102622826e-05,0,0.153846153846154
"Bacteroides.Otu1883",2,"DrugBefore_NO",0,0,0,0
"Bacteroides.Otu1883",2,"DrugBefore_YES",7.72618403770378e-06,2.44323391807802e-05,0,0.1
"Bacteroides.Otu1883",3,"DrugBefore_NO",9.70878443207167e-05,0.000185750929946247,0,0.333333333333333
"Bacteroides.Otu1883",3,"DrugBefore_YES",0,0,0,0
"Bacteroides.Otu1883",4,"DrugBefore_NO",0.0127202108475517,0.0311580259971171,0,0.166666666666667
"Bacteroides.Otu1883",4,"DrugBefore_YES",3.62348687655881e-05,8.31687847296611e-05,0,0.285714285714286
"Klebsiella.Otu1452",1,"DrugBefore_NO",0.000747807333604717,0.00215362609687941,0,0.3
"Klebsiella.Otu1452",1,"DrugBefore_YES",8.29221271166424e-05,0.0002262811082215,0,0.153846153846154
"Klebsiella.Otu1452",2,"DrugBefore_NO",0.000191148387001059,0.000358462430476026,0,0.285714285714286
"Klebsiella.Otu1452",2,"DrugBefore_YES",1.23882412089627e-05,2.8334273834316e-05,0,0.2
"Klebsiella.Otu1452",3,"DrugBefore_NO",0.00913420740508758,0.0221911706686011,0,0.333333333333333
"Klebsiella.Otu1452",3,"DrugBefore_YES",0,0,0,0
"Klebsiella.Otu1452",4,"DrugBefore_NO",0.00121842772090311,0.00196275704504451,0,0.333333333333333
"Klebsiella.Otu1452",4,"DrugBefore_YES",0.0116869469069298,0.0288445832946828,0.000230751480655334,0.571428571428571
"Sutterella.Otu0171",1,"DrugBefore_NO",0.00360447637204316,0.00961742558997123,0,0.4
"Sutterella.Otu0171",1,"DrugBefore_YES",0.00213243409998361,0.00652063513958162,0,0.230769230769231
"Sutterella.Otu0171",2,"DrugBefore_NO",0.00933837513271267,0.0155908691271075,0,0.428571428571429
"Sutterella.Otu0171",2,"DrugBefore_YES",0.00174764503060819,0.00550131454490061,0,0.2
"Sutterella.Otu0171",3,"DrugBefore_NO",6.24219725343321e-05,0.00015290198144714,0,0.166666666666667
"Sutterella.Otu0171",3,"DrugBefore_YES",0.00403641993512238,0.0114167196313664,0,0.125
"Sutterella.Otu0171",4,"DrugBefore_NO",0.0143014930655276,0.0313924449020223,0,0.333333333333333
"Sutterella.Otu0171",4,"DrugBefore_YES",0.00511002523074958,0.0135198559538288,0,0.142857142857143
"Lachnospiraceae.Otu2222",1,"DrugBefore_NO",0.00114925613861209,0.00186556135487399,8.54683831851738e-05,0.6
"Lachnospiraceae.Otu2222",1,"DrugBefore_YES",0.00141176865655753,0.00276390969924536,0,0.307692307692308
"Lachnospiraceae.Otu2222",2,"DrugBefore_NO",0.00575943752564797,0.0150094309534073,0,0.428571428571429
"Lachnospiraceae.Otu2222",2,"DrugBefore_YES",0.00439382654278361,0.00666211620168633,0.000308885174102449,0.6
"Lachnospiraceae.Otu2222",3,"DrugBefore_NO",0.0266733156427989,0.056415856144862,0.00362615655687801,0.833333333333333
"Lachnospiraceae.Otu2222",3,"DrugBefore_YES",0.00649153171479287,0.0121262292499678,0.00122717505368774,0.625
"Lachnospiraceae.Otu2222",4,"DrugBefore_NO",0.00836956521843735,0.0122012334037569,0.0041140232624964,0.833333333333333
"Lachnospiraceae.Otu2222",4,"DrugBefore_YES",0.00921292041784182,0.016999091457823,3.05791694697572e-05,0.571428571428571
"Bacteroides.Otu1669",1,"DrugBefore_NO",0.00146965116372575,0.00336808427163066,0.000207353420090942,0.6
"Bacteroides.Otu1669",1,"DrugBefore_YES",0.00170284442761434,0.00183262987428953,0.0011648223645894,0.692307692307692
"Bacteroides.Otu1669",2,"DrugBefore_NO",0.000440330416298879,0.000469544371446531,0.000411353352529823,0.571428571428571
"Bacteroides.Otu1669",2,"DrugBefore_YES",0.00216261806373002,0.00297062988376206,0.0001391827190736,0.5
"Bacteroides.Otu1669",3,"DrugBefore_NO",7.06152016497911e-05,0.000150181023753807,0,0.333333333333333
"Bacteroides.Otu1669",3,"DrugBefore_YES",0.00208240745233314,0.00305097423378434,0.000195848021934978,0.5
