"feature","Sample.type.Drug.Before","visit","mean","sd","median","incidence"
"2431","patient TRUE .",4,29.4709302116823,6.98208033978526,29.2123543242049,1
"2472","1",1,39.3803632457954,8.54689137880779,38.635242986043,1
"2472","1",2,44.6309703065644,0.521886797374991,44.6309703065644,1
"2472","patient FALSE .",1,36.6415607468311,8.19987620781046,34.6133410898962,1
"2472","patient FALSE .",2,25.8321093054216,16.1384550900085,30.87555926334,1
"2472","patient FALSE .",3,34.6907847210754,7.23232610834111,35.9978401163166,1
"2472","patient FALSE .",4,35.2456799799111,6.65936209451978,32.8169184850993,1
"2472","patient TRUE .",1,29.48637801164,8.24059722471885,27.2954556856122,1
"2472","patient TRUE .",2,28.6130601754439,6.3032892798864,29.2809914531517,1
"2472","patient TRUE .",3,32.7572726879629,5.93211487600883,33.7687139747949,1
"2472","patient TRUE .",4,29.5909524377441,7.01066487877636,29.2980582277873,1
"2491","1",1,39.4466106059162,8.56079229715039,38.7092531149142,1
"2491","1",2,44.3262363606361,NA,44.3262363606361,1
"2491","patient FALSE .",1,36.7009177678584,8.20896965289638,34.6923405590701,1
"2491","patient FALSE .",2,25.8789506234714,16.1694623480835,30.9316505843044,1
"2491","patient FALSE .",3,34.747257674446,7.24672954606345,36.05765179277,1
"2491","patient FALSE .",4,35.3106628535683,6.68196626371082,32.871287923912,1
"2491","patient TRUE .",1,29.5450253250674,8.24772118852485,27.345612274774,1
"2491","patient TRUE .",2,28.6666595950243,6.3110336089699,29.342392914452,1
"2491","patient TRUE .",3,32.8139397359747,5.93826277768646,33.82939692237,1
"2491","patient TRUE .",4,29.6460560899188,7.02385665909683,29.3373743064798,1
"2502","1",1,39.4847686499742,8.56877177949673,38.7518859708282,1
"2502","1",2,44.3631923461571,NA,44.3631923461571,1
"2502","patient FALSE .",1,36.7350426588846,8.21422922930327,34.7378854803117,1
"2502","patient FALSE .",2,25.9059460073494,16.1873297623657,30.9639816325953,1
"2502","patient FALSE .",3,34.7798078797431,7.25506600727347,36.092137028038,1
"2502","patient FALSE .",4,35.348085177334,6.69501436813589,32.9025981829019,1
"2502","patient TRUE .",1,30.6278078147485,7.77020761822099,28.23361818413,1
"2502","patient TRUE .",2,28.6975352075469,6.31549800835895,29.3777983683626,1
"2502","patient TRUE .",3,32.8465636418911,5.94179355408945,33.8642629351459,1
"2502","patient TRUE .",4,29.6778115980621,7.03147856064249,29.360023408319,1
"2542","1",1,39.5209197388578,8.88921416895606,37.8427696130356,1
"2542","1",2,44.4959493776008,NA,44.4959493776008,1
"2542","patient FALSE .",1,36.8576773264005,8.2333285917698,34.9023358886996,1
"2542","patient FALSE .",2,26.0033628607156,16.2517911640515,31.0806818003766,1
"2542","patient FALSE .",3,34.8972956740893,7.28537085323679,36.2166724389808,1
"2542","patient FALSE .",4,35.4829544847263,6.74222251677622,33.0154396576477,1
"2542","patient TRUE .",1,30.7475577287563,7.79084404366595,28.3537370416332,1
"2542","patient TRUE .",2,28.8088646464122,6.3316147230979,29.5056763977578,1
"2542","patient TRUE .",3,32.9640861333317,5.95445624002275,33.9894337256143,1
"2542","patient TRUE .",4,29.792396834258,7.05910140850728,29.4417041119958,1
"2605","1",1,39.7331207541821,8.93440965581259,38.086157879647,1
"2605","1",2,44.7000011124878,NA,44.7000011124878,1
"2605","patient FALSE .",1,37.046325638273,8.26335056156967,35.1577166984892,1
"2605","patient FALSE .",2,26.1544834520321,16.3517381867869,31.2618051269034,1
"2605","patient FALSE .",3,35.0796386994604,7.33309593023603,36.4101417275641,1
"2605","patient FALSE .",4,35.6916206835976,6.8158061385447,33.1900241539627,1
"2605","patient TRUE .",1,31.8063623397688,7.65920301350928,28.9964754132076,1
"2605","patient TRUE .",2,28.9812834233741,6.35662962375849,29.70438689593,1
"2605","patient TRUE .",3,33.1457704165983,5.97383762712277,34.18159580584,1
"2605","patient TRUE .",4,29.9701240543959,7.10232264525456,29.5682775233851,1
