"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Lachnospiraceae.Otu0875","control","(6.27,8.71]",0.00400642844442427,0.00193122652806446,0.00400642844442427,1
"Lachnospiraceae.Otu0875","control","(8.71,15.3]",0.00157879776813476,0.000787018086116282,0.00170502983802217,1
"Lachnospiraceae.Otu0875","control","(15.3,26.4]",0.00205394100599374,0.00125951150627981,0.00201269546369407,1
"Lachnospiraceae.Otu0875","patient","[3.18,6.27]",0,0,0,0
"Lachnospiraceae.Otu0875","patient","(6.27,8.71]",0.00162563029112631,0.00336845077409019,0.000100948919846558,0.5
"Lachnospiraceae.Otu0875","patient","(8.71,15.3]",0.0049215669961579,0.00653081152839114,0.00259675718072159,0.75
"Lachnospiraceae.Otu0875","patient","(15.3,26.4]",0.00103303183883022,0.0013094777221734,0.000413736036408771,0.888888888888889
"Bacteroides.Otu2460","control","[3.18,6.27]",0.000141790077585009,0.000175184762592637,0.000103626943005181,0.5
"Bacteroides.Otu2460","control","(6.27,8.71]",0,0,0,0
"Bacteroides.Otu2460","control","(8.71,15.3]",0.00162429902646219,0.00175062662935632,0.00102564102564103,0.857142857142857
"Bacteroides.Otu2460","control","(15.3,26.4]",0.000296575685605661,0.000373142456343499,8.5157114876948e-05,0.6
"Bacteroides.Otu2460","patient","[3.18,6.27]",0.00815986460532793,0.00582129273543931,0.00896911727461704,1
"Bacteroides.Otu2460","patient","(6.27,8.71]",0.00288435665380562,0.00245399450374435,0.00207203995055286,1
"Bacteroides.Otu2460","patient","(8.71,15.3]",0.000161030595813205,0.000322061191626409,0,0.25
"Bacteroides.Otu2460","patient","(15.3,26.4]",0.00150041742681058,0.00339345253182798,0.000413736036408771,0.555555555555556
"Prevotella.Otu2702","control","[3.18,6.27]",0,0,0,0
"Prevotella.Otu2702","control","(6.27,8.71]",0,0,0,0
"Prevotella.Otu2702","control","(8.71,15.3]",0,0,0,0
"Prevotella.Otu2702","control","(15.3,26.4]",0.00893587846378967,0.0198861598837531,0,0.4
"Prevotella.Otu2702","patient","[3.18,6.27]",0,0,0,0
"Prevotella.Otu2702","patient","(6.27,8.71]",0,0,0,0
"Prevotella.Otu2702","patient","(8.71,15.3]",0,0,0,0
"Prevotella.Otu2702","patient","(15.3,26.4]",6.47123535883e-05,0.0001941370607649,0,0.111111111111111
"Bacteroides.Otu2416","control","[3.18,6.27]",0.000803284541235273,0.00160656908247055,0,0.25
"Bacteroides.Otu2416","control","(6.27,8.71]",0.00067150147730325,0.000949646496355825,0.00067150147730325,0.5
"Bacteroides.Otu2416","control","(8.71,15.3]",0.000522939786692866,0.000411426904129515,0.000515729757607014,0.857142857142857
"Bacteroides.Otu2416","control","(15.3,26.4]",0.000597841424779773,0.00099580851083836,7.07664001132262e-05,0.6
"Bacteroides.Otu2416","patient","[3.18,6.27]",0.000380517503805175,0.00076103500761035,0,0.25
"Bacteroides.Otu2416","patient","(6.27,8.71]",0.00202364950922928,0.00265466069915048,0.00104470140268851,0.666666666666667
