".record.id","Sample.type","feature","Abundance"
"SB8","patient","Clostridium_XVIII",0.00336304018833025
"SB9","patient","Clostridium_XVIII",0.00151457781143506
"SB1","control","Gemmiger",0.00113662195953626
"SB10","control","Gemmiger",0.0149024951034659
"SB11","patient","Gemmiger",0
"SB12","control","Gemmiger",0
"SB13","control","Gemmiger",0
"SB14","control","Gemmiger",0.00876740587931924
"SB15","control","Gemmiger",6.89464975179261e-05
"SB16","patient","Gemmiger",0
"SB17","patient","Gemmiger",0.00270096463022508
"SB18","patient","Gemmiger",0.00427747814766598
"SB19","control","Gemmiger",0.00422758499207328
"SB21","control","Gemmiger",0.0062983624257693
"SB22","patient","Gemmiger",0
"SB23","patient","Gemmiger",0.00215169445938677
"SB24","control","Gemmiger",0.0107573149741824
"SB25","control","Gemmiger",0.00404944586530264
"SB26","control","Gemmiger",0
"SB28","patient","Gemmiger",0
"SB29","patient","Gemmiger",0
"SB3","control","Gemmiger",0.00932642487046632
"SB30","patient","Gemmiger",0
"SB31","control","Gemmiger",0.00146520146520147
"SB32","control","Gemmiger",0.00882489549465862
"SB33","control","Gemmiger",0.00568508096933502
"SB34","patient","Gemmiger",0.00744653216728721
"SB35","patient","Gemmiger",0
"SB36","patient","Gemmiger",0.00190258751902588
"SB38","patient","Gemmiger",0.000667759363807442
"SB39","patient","Gemmiger",0.0119162640901771
"SB4","patient","Gemmiger",0.000301477238468496
"SB40","control","Gemmiger",0.0192788289896466
"SB41","patient","Gemmiger",0.00115084985835694
"SB42","patient","Gemmiger",0
"SB43","patient","Gemmiger",0.0001941370607649
"SB44","patient","Gemmiger",0
"SB45","control","Gemmiger",0.000528820729772607
"SB5","patient","Gemmiger",0.00119838762392417
"SB6","patient","Gemmiger",0
"SB7","control","Gemmiger",0.0123133536197014
"SB8","patient","Gemmiger",0.0067260803766605
"SB9","patient","Gemmiger",0.000757288905717531
"SB1","control","Streptococcus",0
"SB10","control","Streptococcus",0.000255471344630844
"SB11","patient","Streptococcus",0
"SB12","control","Streptococcus",0.0124223602484472
"SB13","control","Streptococcus",0.000440140845070423
"SB14","control","Streptococcus",0
"SB15","control","Streptococcus",0.0761169332597904
"SB16","patient","Streptococcus",0.00124120810922631
"SB17","patient","Streptococcus",0.000643086816720257
"SB18","patient","Streptococcus",6.19924369226954e-05
"SB19","control","Streptococcus",0.0017614937466972
"SB21","control","Streptococcus",0.000359906424329674
"SB22","patient","Streptococcus",0.00307101727447217
"SB23","patient","Streptococcus",0.000134480903711673
"SB24","control","Streptococcus",0.000717154331612163
"SB25","control","Streptococcus",0.00149190110826939
"SB26","control","Streptococcus",0.002686005909213
"SB28","patient","Streptococcus",0.0003933910306845
"SB29","patient","Streptococcus",0
"SB3","control","Streptococcus",0.000207253886010363
"SB30","patient","Streptococcus",0.000100948919846558
"SB31","control","Streptococcus",0.00021978021978022
"SB32","control","Streptococcus",0.00108375909583527
"SB33","control","Streptococcus",0.000229700241185253
"SB34","patient","Streptococcus",0.000432937916702745
"SB35","patient","Streptococcus",0
"SB36","patient","Streptococcus",0
"SB38","patient","Streptococcus",6.07053967097675e-05
"SB39","patient","Streptococcus",0.00483091787439614
"SB4","patient","Streptococcus",0
"SB40","control","Streptococcus",0
"SB41","patient","Streptococcus",8.85269121813031e-05
"SB42","patient","Streptococcus",0.00129149889842741
"SB43","patient","Streptococcus",9.706853038245e-05
"SB44","patient","Streptococcus",0
"SB45","control","Streptococcus",8.81367882954345e-05
"SB5","patient","Streptococcus",0.0184115916766532
"SB6","patient","Streptococcus",0
"SB7","control","Streptococcus",0.00148609440237775
"SB8","patient","Streptococcus",0.0026904321506642
"SB9","patient","Streptococcus",0.0155244225672094
"SB1","control","Enterococcus",0.000227324391907252
"SB10","control","Enterococcus",0
"SB11","patient","Enterococcus",0
"SB12","control","Enterococcus",0.0559006211180124
"SB13","control","Enterococcus",0
"SB14","control","Enterococcus",0
"SB15","control","Enterococcus",0
"SB16","patient","Enterococcus",0
"SB17","patient","Enterococcus",0
"SB18","patient","Enterococcus",0.0717872419564813
"SB19","control","Enterococcus",0
"SB21","control","Enterococcus",0.00377901745546158
"SB22","patient","Enterococcus",0
"SB23","patient","Enterococcus",0
"SB24","control","Enterococcus",0
"SB25","control","Enterococcus",0
"SB26","control","Enterococcus",0.0002686005909213
"SB28","patient","Enterococcus",0.0003933910306845
"SB29","patient","Enterococcus",0
"SB3","control","Enterococcus",0
"SB30","patient","Enterococcus",0
"SB31","control","Enterococcus",0
"SB32","control","Enterococcus",0
"SB33","control","Enterococcus",0
"SB34","patient","Enterococcus",0
"SB35","patient","Enterococcus",0.000401445202729827
"SB36","patient","Enterococcus",0
"SB38","patient","Enterococcus",0.000121410793419535
"SB39","patient","Enterococcus",0
"SB4","patient","Enterococcus",0.00331624962315345
"SB40","control","Enterococcus",0
"SB41","patient","Enterococcus",0
"SB42","patient","Enterococcus",0
"SB43","patient","Enterococcus",0
"SB44","patient","Enterococcus",0
"SB45","control","Enterococcus",0
"SB5","patient","Enterococcus",0.000108944329447652
"SB6","patient","Enterococcus",0.00111234705228031
"SB7","control","Enterococcus",0
"SB8","patient","Enterococcus",0
"SB9","patient","Enterococcus",0.000757288905717531
"SB1","control","Clostridium_sensu_stricto",0
"SB10","control","Clostridium_sensu_stricto",8.5157114876948e-05
"SB11","patient","Clostridium_sensu_stricto",0.028125
"SB12","control","Clostridium_sensu_stricto",0.0297056440723738
"SB13","control","Clostridium_sensu_stricto",0.000440140845070423
"SB14","control","Clostridium_sensu_stricto",0.000128932439401753
"SB15","control","Clostridium_sensu_stricto",0.000137892995035852
"SB16","patient","Clostridium_sensu_stricto",0
"SB17","patient","Clostridium_sensu_stricto",0.00218649517684887
"SB18","patient","Clostridium_sensu_stricto",0
"SB19","control","Clostridium_sensu_stricto",0.00017614937466972
